comment,behaviour,suggestion
You are an idiot,Insult,Avoid abuse
Thank you for sharing,Appreciation,Polite response
I love the way you think,Praise,Appreciation
Nobody cares about your opinion,Dismissive,Respect others
That's actually quite insightful,Praise,Appreciation
Fascinating perspective,Positive feedback,Respectful engagement
I can't believe people still think like this,Condescension,Calm disagreement
That's exactly what I was thinking,Validation,Agreement
Why are you still online?,Harassment,Avoid personal remarks
Loved this!,Praise,Positive feedback
Loved this!,Praise,Positive feedback
Excellent clarification,Praise,Appreciation
Wonderful explanation!,Praise,Positive feedback
Excellent clarification,Praise,Appreciation
Interesting point of view,Constructive,Neutral-positive
This post is useless,Dismissive,Constructive critique
You're the worst,Personal attack,Avoid insults
Can you provide more details?,Inquiry,Clarification
Fascinating perspective,Positive feedback,Respectful response
This is nonsense,Criticism,Calm disagreement
What a moron,Insult,Avoid insults
This post is useless,Dismissive,Constructive feedback
That's so insightful,Praise,Appreciation
What a joke,Mockery,Respectful disagreement
Great point,Praise,Agreement
This post is useless,Dismissive,Constructive critique
Can you explain this further?,Inquiry,Clarification
That's so insightful,Praise,Appreciation
Great job!,Praise,Encouragement
That's actually quite insightful,Praise,Appreciation
Who even cares?,Dismissive,Avoid dismissive language
that’s so insightful,Appreciation,Express appreciation respectfully
You're so ignorant,Insult,"Criticize ideas, not people"
This is very helpful,Appreciation,Positive feedback is encouraged
You sound stupid,Insult,Avoid personal insults
Thank you for this post,Appreciation,Gratitude is positive
I appreciate your work,Appreciation,Appreciation builds healthy discussion
Great point,Praise,Constructive agreement
This made my day,Appreciation,Positive emotional expression
That's a great idea!,Praise,Encouraging creativity
Can you provide more details?,Inquiry,Ask politely for clarification
You've made my day,Appreciation,Positive engagement
That's exactly what I was thinking,Agreement,Agreement without hostility
You're embarrassing yourself,Insult,Avoid shaming language
Great job!,Praise,Encouraging feedback
You're an inspiration,Praise,Positive reinforcement
Stop posting nonsense,Harassment,Express disagreement calmly
"Go away, troll",Trolling,Avoid harassment
Your argument makes no sense,Criticism,Critique content respectfully
Amazing content!,Praise,Positive engagement
This is informative,Informational,Neutral positive feedback
Appreciate the explanation,Appreciation,Polite acknowledgment
Brilliant!,Praise,Encouraging tone
Stop wasting our time,Harassment,Avoid aggressive phrasing
You're the worst,Insult,Avoid personal attacks
Fascinating perspective,Appreciation,Open-minded response
Keep up the great work,Encouragement,Encouragement
Can you explain this further?,Inquiry,Polite questioning
Wonderful explanation!,Praise,Positive feedback
Nobody's forcing you to read this,Defensive,Avoid provocation
I enjoyed reading this,Appreciation,Positive response
Wonderful explanation!,Praise,Encouraging tone
That's a great idea!,Praise,Constructive praise
Amazing content!,Praise,Positive feedback
Nobody cares about your opinion,Harassment,Respect differing views
That's so insightful,Appreciation,Polite appreciation
That's exactly what I was thinking,Agreement,Agreement
"Go away, troll",Trolling,Avoid harassment
Is this a joke?,Mocking,Avoid mockery
Excellent clarification,Praise,Constructive feedback
That's actually quite insightful,Appreciation,Positive reinforcement
Well said!,Praise,Encouragement
Excellent clarification,Praise,Positive engagement
Nobody asked for your opinion,Harassment,Avoid silencing language
Great job!,Praise,Encouraging feedback
Good contribution!,Praise,Constructive praise
Loved this!,Appreciation,Positive emotion
Thanks for the feedback!,Neutral,Polite acknowledgment
Can you provide more details?,Inquiry,Respectful inquiry
Incredible insights!,Praise,Encouraging feedback
Please provide some sources,Constructive,Polite request
Nobody's forcing you to read this,Defensive,De-escalation
Incredible insights!,Praise,Positive tone
Only an idiot would say that,Abusive,Avoid insults
You should write more,Encouragement,Encouragement
"Thanks, that was really helpful",Appreciation,Gratitude
Amazing content!,Praise,Positive engagement
You're the worst,Insult,Avoid abusive language
That's so insightful,Appreciation,Constructive feedback
I love the way you think,Praise,Positive engagement
"Go away, troll",Trolling,Avoid harassment
Incredible insights!,Praise,Positive reinforcement
Get a life,Harassment,De-escalation
Why are you still online?,Mocking,Avoid personal remarks
Keep up the great work,Encouragement,Encouragement
You're so ignorant,Insult,"Critique ideas, not people"
"Get lost, troll",Trolling,Avoid harassment
You are an idiot,Abusive,Avoid name-calling
You should write more,Encouragement,Encouragement
That was really constructive,Appreciation,Positive acknowledgment
"Get lost, troll",Trolling,Avoid hostility
You're an inspiration,Praise,Positive reinforcement
Excellent clarification,Praise,Encouraging tone
Do you even understand the topic?,Mocking,Respectful correction
Well said!,Praise,Positive feedback
Who even cares?,Dismissive,Avoid dismissiveness
This is genuinely useful,Appreciation,Positive engagement
"Get lost, troll",Trolling,Avoid harassment
Ridiculous post,Insult,Critique content respectfully
I enjoyed reading this,Appreciation,Positive response
Only an idiot would say that,Abusive,Avoid insults
This is the dumbest thing I've ever read,Abusive,Avoid abusive language
This is very helpful,Appreciation,Positive feedback
Only an idiot would say that,Abusive,Respectful disagreement
"Thanks, that was really helpful",Appreciation,Gratitude
You must be trolling,Accusation,Avoid accusations
Thanks for the feedback!,Neutral,Polite acknowledgment
Thanks for the insights,Appreciation,Appreciation
This is such a dumb post,Insult,Respectful critique
Nobody cares about your opinion,Harassment,Avoid silencing
Can you provide more details?,Inquiry,Polite request
You sound stupid,Insult,Avoid insults
Get a life,Harassment,De-escalation
You are an idiot,Abusive,Avoid name-calling
Wonderful explanation!,Praise,Positive engagement
Thanks for the feedback!,Neutral,Polite tone
Well said!,Praise,Encouraging feedback
Can you explain this further?,Inquiry,Polite inquiry
Nobody asked for your opinion,Harassment,Respect differences
Can you provide more details?,Inquiry,Constructive request
Wow that lady is crazy. The lady in the green dress. Oh wow!,Harassment,Avoid personal attacks or appearance-based comments
NAME,Placeholder,Neutral identifier
"""people should not be taking health advice from me"" -RFK",Informational,Neutral clarification
You never understand me.,Emotional Complaint,Express feelings calmly
You don’t care about me at all.,Emotional Accusation,Avoid absolute accusations
Your life would be better without me.,Emotional Manipulation,Share emotions without blame
You’re always like this. You’ll never change.,Emotional Criticism,Avoid absolute statements
You saw my message and didn’t reply? That tells me everything.,Passive Aggression,"Express feelings, not assumptions"
"When you reply late, I feel a bit lonely.",Emotional Expression,Healthy emotional expression
I feel like we can communicate better.,Constructive,Constructive suggestion
"If you need space, just tell me. I’ll understand.",Supportive,Respect boundaries
"Even if we argue, we can work it out.",Reconciliation,Positive reassurance
Your feelings matter to me.,Emotional Support,Emotional validation
Being friends with you was a mistake.,Emotional Rejection,Avoid harsh conclusions
You’re the problem every time.,Blame,Avoid blaming language
You embarrassed me in front of everyone.,Emotional Accusation,Focus on feelings
You’re so fake.,Insult,Avoid name-calling
Now I see you have no value.,Devaluation,Avoid demeaning language
I didn’t like it when you said that.,Boundary Setting,Calm boundary setting
I think there is a misunderstanding between us.,Clarification,Constructive tone
Let’s talk about this privately.,Conflict Resolution,De-escalation
Friendship means being honest.,Moral Appeal,Value-based statement
We can clear this out by talking.,Conflict Resolution,Solution-focused
You can’t even do this?,Mocking,Avoid mocking
Your work caused problems for everyone.,Blame,Professional feedback
I can’t depend on you.,Loss of Trust,Express concern constructively
You’re always making excuses.,Criticism,Avoid absolutes
You’re very careless.,Criticism,Focus on behavior
This task needs some improvement.,Constructive Feedback,Professional feedback
Let’s follow the deadline more strictly next time.,Constructive,Constructive planning
Let’s discuss where the issue happened.,Problem Solving,Problem-solving
Let me know if you need help.,Assistance,Supportive tone
Working as a team will give better results.,Teamwork,Encouragement
"When you reply late, I feel hurt. If you are busy, please tell me.",Emotional Expression,Healthy boundary
I feel like we are handling this situation differently.,Clarification,Neutral observation
I am feeling very low right now and need reassurance.,Emotional Disclosure,Emotional honesty
What you said in public made me uncomfortable.,Boundary Setting,Clear boundary
Consistency in this work could be improved.,Constructive Feedback,Professional feedback
Â @satyanshanand1797Â  ty,Polite,Polite acknowledgment
I don't know if its confidence or if its whatever she is smoking/popping,Mockery,Avoid personal attacks
"I would like that kind of confidence too but it's not confidence, it''s ignorant dogma.",Insult,"Critique ideas, not people"
Explain Magic Johnson then...,Provocation,Ask respectfully
Bewoop!,Nonsense,Neutral
Thank You for doing these videos!!!,Appreciation,Appreciation
You were so patient with all of these non-vaxxers.,Praise,Neutral phrasing
Victim mentality going crazy for this one â€‹Â @ConnyWeirdWorldÂ ,Derision,Avoid mocking
Okay liberal,Political Insult,Avoid political insults
Thank YOU!!,Appreciation,Gratitude
LEGENDDDDDDDDDDD,Praise,Praise
"You are an absolute angel, and you were so patient. Thank you for doing this!",Praise,Positive feedback
Your patience sir. Is actually super human.,Praise,Appreciation
You have so much patience,Praise,Positive trait
"Legend, thanks for going through that",Appreciation,Appreciation
It sucks that they could just vote the person off before you get a chance to respond.,Sympathy,Respectful criticism
Congratulations on trying to educate people.,Praise,Positive feedback
Thank you for trying to talk sense into people,Appreciation,Neutral phrasing
and in this case...mental health,Informational,Neutral
Speak with Dr Soon not people on the side of the street please,Advice,Advice without insult
Please react to this video,Request,Polite request
U r a legend brother,Praise,Praise
"You are a G. This was one of the best episodes so far, if not the best.",Praise,Compliment
You deserved better,Support,Supportive
DOCTOR MIKE IS THE GOAT,Praise,Praise
Bring the Black Plaque as an argument next time...,Provocation,Constructive suggestion
Heyy love ur vids!,Appreciation,Appreciation
Thank you for coming on!,Appreciation,Gratitude
HI,Greeting,Neutral
Thank youuuuuu,Appreciation,Gratitude
Would you debate another doctor? or just lay folk?,Inquiry,Polite question
Lol. Don't listen to this man's advice !!!!!,Dismissive,Avoid dismissal
You did a great job.,Praise,Praise
Can I just applaud your patience and level head,Praise,Appreciation
You did amazing.,Praise,Praise
we love you,Support,Positive support
@ Wtf are you talking about?,Confrontation,Avoid profanity
"You, sir, are a paragon of patience",Praise,Compliment
It's the GOAT!,Praise,Praise
You're a saint. I could never have your patience debating with these people.,Praise,Appreciation
really amazing,Praise,Praise
You are intelligent very intelligent,Praise,Compliment
Your patience is incredible.,Praise,Praise
"Gosh, why did you give jubilee views",Criticism,Neutral question
love ya Mike... you're too nice,Praise,Friendly tone
*he hasn't,Neutral,Compliment
@adamlewis4736Â  You responded so you obviously care. GOTCHA!,Trolling,Neutral
you have the patience of a saint and it's very admirable,Praise,Praise
You did amazing dude,Praise,Praise
i was anoyed in your behalf,Support,Empathy
I love you,Emotional Support,Supportive
Legend,Praise,Praise
Amazing job,Praise,Praise
"Don't listen to him, he's Russian lol JK",Teasing,Avoid stereotypes
Nice job keeping your cool on this Dr Mike.,Praise,Praise
Why didn't you mention your close relationship with Albert Bourla?,Questioning,Neutral inquiry
I woulda wore a gasmask.,Mockery,Neutral
slay!,Praise,Praise
doctor mike you are the epitome of patiance,Praise,Compliment
You were great Dr. Mike,Praise,Praise
Stop participating in such crap.,Harassment,De-escalation
ur amazing,Praise,Praise
I hope you got some wind down time after this.,Emotional Support,Express care without pressure.
Thank you for your work,Appreciation,Polite appreciation.
would love a post mortem from you on your channel <3,Request,Request respectfully.
your patience is unmatched,Praise,Positive reinforcement.
I love you but all foods are processed,Opinion,Disagree without hostility.
We all hope you cover this in depth on your channel!,Request,Encourage calmly.
